,var0,var1,var2,var3,var4,var5,var6,var7,var8,var9,target
98,0,0,0.0,0,0,0,0.0,0.0,25,200807.07,0
99,0,0,90.0,0,0,0,75.0,45.03,23,165635.1,0
100,0,0,3.0,0,3,3,2.79,2.34,23,64978.32,0
101,0,0,90.0,0,3,3,62.07,6.21,33,395158.38,0
102,3,36,30.0,0,0,36,22.41,2.88,23,40034.1,0
103,0,0,90.0,0,0,0,63.87,11.61,23,117310.979016494,0
104,21,0,0.0,3,3,6,0.0,29999.97,77,49965.87,0
105,3,0,15.0,0,0,0,10.83,2.49,28,93861.78,0
106,0,3,13.56,15,3,21,13.71,1.14,29,194717.55,0
107,0,0,3.0,0,0,0,2.64,1.95,42,52629.36,0
108,0,0,3.0,0,0,0,2.1,0.27,25,70804.53,0
109,0,0,0.0,0,0,0,0.0,0.0,38,117310.979016494,0
110,0,0,0.0,0,0,0,0.0,0.0,45,84785.85,0
111,0,0,3.0,0,0,0,2.97,2.88,30,69981.72,0
112,3,6,2961.24,9,3,18,3945.63,0.0,40,75410.37,0
113,0,0,14516.13,9,0,9,0.0,2499.99,76,53029.5,0
114,3,6,927.69,21,3,30,692.73,13.98,37,45221.04,0
115,0,12,3.0,0,0,12,2.1,0.27,23,44064.93,0
116,3,0,0.0,0,0,0,0.0,0.0,23,59163.0,0
117,12,0,0.0,6,3,9,0.0,0.0,55,117310.979016494,0
118,0,0,0.0,0,3,3,0.0,0.0,23,100797.03,0
119,18,39,403.65,48,36,123,1337.67,280.65,54,89774.01,0
120,3,0,1528.98,6,9,15,1335.45,283.35,35,117310.979016494,0
121,0,0,3.0,0,0,0,2.25,0.72,30,65978.88,0
122,6,6,60.0,3,0,9,1009.74,6.0,42,69591.48,1
123,0,0,0.0,0,0,0,0.0,0.0,23,185447.22,0
124,0,0,30.0,0,0,0,28.62,25.89,28,84396.69,0
125,0,0,14.55,0,3,3,14.79,0.0,23,58777.29,0
126,6,3,90.0,0,3,6,75.99,48.0,23,105520.71,0
127,0,24,0.0,33,12,69,0.0,0.0,31,131774.97,0
128,6,0,3633.84,0,0,0,5262.96,5.01,41,86507.55,0
129,9,0,130.02,0,0,0,228.09,0.0,28,64311.36,0
130,0,0,3.0,0,0,0,2.79,2.4,24,294013.05,0
131,12,3,6774.21,18,0,21,0.0,0.0,63,186236.34,0
132,0,0,0.0,0,0,0,0.0,0.0,23,117310.979016494,0
133,0,0,3.0,0,0,0,2.52,1.59,38,69048.78,0
134,9,12,0.0,18,66,96,0.0,31005.0,43,117310.979016494,0
135,9,0,0.6,3,3,6,0.0,0.72,45,86410.5,0
136,0,0,3.0,0,0,0,2.61,1.86,23,130432.38,0
137,0,0,3.0,0,0,0,2.85,2.52,27,108845.91,0
138,0,0,0.0,0,3,3,0.0,0.0,23,65222.07,0
139,0,9,3394.41,9,6,24,2064.12,1444.44,32,101456.79,0
140,0,15,15.0,0,6,21,291.0,9.69,57,210509.67,0
141,0,0,0.0,0,0,0,0.0,0.0,36,89128.44,0
142,0,0,15.0,0,3,3,12.33,6.99,36,57912.57,0
143,0,0,3.0,0,3,3,2.85,2.55,23,45928.5,0
144,0,0,0.0,0,3,3,0.0,0.0,28,91723.26,0
145,6,0,300.0,0,0,0,166.65,19.35,34,30024.12,0
146,0,0,0.0,0,0,0,0.0,0.0,23,117310.979016494,0
147,3,6,774.21,6,0,12,672.87,44.43,55,110976.39,0
148,0,3,14.55,6,6,15,24.84,0.0,80,96648.51,0
149,0,6,61.5,12,12,30,8540.1,25497.27,37,117310.979016494,0
150,0,3,90.0,3,3,9,68.55,25.68,51,79014.9,0
151,0,0,3.6,3,0,3,2.88,1.44,29,111410.58,0
152,12,0,365.91,3,6,9,449.13,251.61,31,56467.44,0
153,21,6,134.46,0,0,6,140.25,0.0,26,42978.45,0
154,0,0,0.0,0,0,0,0.0,0.0,25,61648.44,0
155,3,0,90.0,0,12,12,68.7,26.13,23,117310.979016494,0
156,0,0,0.0,0,0,0,0.0,0.0,38,58084.53,0
157,3,6,0.0,0,0,6,0.0,0.0,55,117310.979016494,0
158,6,0,48870.99,15,12,27,0.0,32250.03,60,239396.13,0
159,0,3,90.0,0,0,3,73.56,40.68,24,79688.37,0
160,0,0,93.0,0,12,12,90.0,84.0,26,71930.34,0
161,0,33,109.2,9,0,42,105.12,0.0,31,117310.979016494,0
162,0,0,0.0,0,0,0,0.0,0.0,31,45265.38,1
163,0,0,0.0,0,6,6,0.0,0.0,62,109595.55,1
164,3,6,15.0,9,6,21,271.35,9.87,27,117310.979016494,0
165,12,18,3521.07,27,33,78,2477.16,78.78,56,63648.57,0
166,6,9,31457.61,36,0,45,25488.0,0.39,52,81591.75,0
167,0,27,1114.29,0,3,30,728.01,37.71,24,117310.979016494,0
168,0,0,0.0,0,0,0,0.0,0.0,29,36969.45,0
169,0,0,30.0,0,3,3,21.93,5.82,23,48426.3,0
170,0,0,0.3,0,0,0,0.27,0.18,23,95712.93,0
171,9,0,237.66,54,0,54,0.0,0.0,32,54689.01,0
172,6,3,0.0,3,3,9,0.0,1935.48,38,117310.979016494,0
173,0,0,3.0,0,0,0,2.85,2.55,24,157526.34,0
174,0,0,3.0,0,0,0,2.55,1.65,24,95251.92,1
175,3,15,15.0,0,0,15,13.17,12.45,23,68632.98,0
176,0,0,0.0,0,0,0,0.0,0.0,23,203424.36,0
177,0,0,0.0,0,0,0,0.0,0.0,23,117310.979016494,0
178,0,0,90.0,0,0,0,63.87,11.61,23,117310.979016494,0
179,0,0,0.0,0,0,0,0.0,0.0,23,234692.94,0
180,0,0,0.0,0,0,0,0.0,0.0,57,117310.979016494,1
181,0,0,0.0,0,9,9,0.0,0.0,25,172933.98,0
182,3,0,90.0,9,12,21,82.26,66.78,30,150948.42,0
183,9,54,4950.63,81,33,168,4490.64,4.83,36,64822.17,0
184,0,0,90.0,0,0,0,61.95,5.82,22,237627.24,0
185,0,0,3.0,0,0,0,2.49,1.44,24,84466.38,0
186,6,48,840.66,21,18,87,825.48,333.87,61,117310.979016494,0
187,0,0,3.0,0,0,0,2.76,2.31,23,117310.979016494,0
188,6,0,0.0,0,6,6,0.0,0.0,32,98212.23,1
189,0,0,0.0,3,0,3,0.0,0.0,30,183841.44,0
190,0,0,0.0,0,0,0,0.0,0.0,31,57358.74,0
191,0,0,49.53,0,0,0,67.74,0.69,26,117310.979016494,0
192,0,0,3.0,0,0,0,2.04,0.09,27,145599.06,0
193,0,0,0.0,0,0,0,0.0,0.0,23,174618.3,0
194,3,0,0.0,0,0,0,0.0,0.0,23,38522.64,0
195,0,0,3.0,0,0,0,2.79,2.34,32,117310.979016494,0
196,0,0,3.0,0,0,0,2.4,1.17,23,117310.979016494,0
197,0,0,0.0,0,0,0,0.0,0.0,23,22237.38,0
198,0,0,3.0,0,0,0,2.79,2.4,23,112511.97,0
199,21,0,0.0,0,3,3,0.0,0.51,71,165191.58,0
200,3,0,0.0,6,0,6,0.0,0.0,23,347962.41,0
201,0,0,3.0,0,0,0,2.73,2.22,23,38308.23,0
202,6,3,1500.0,9,30,42,2690.34,5070.99,36,92121.36,0
203,0,0,0.0,0,0,0,0.0,0.0,29,50972.85,0
204,9,48,0.0,18,6,72,0.0,9.69,25,416583.03,0
205,0,0,0.0,0,0,0,0.0,0.0,45,71501.1,0
206,0,0,0.0,0,0,0,0.0,0.0,23,1374570.75,0
207,0,0,0.0,0,15,15,0.0,29665.53,88,141187.53,0
208,0,0,3.0,0,3,3,2.4,1.2,24,59316.45,0
209,6,12,0.0,6,42,60,0.0,0.21,45,63203.34,0
210,0,0,3.0,0,0,0,2.76,2.31,39,117310.979016494,0
211,0,0,90.0,0,0,0,62.91,8.7,23,36780.45,0
212,3,3,918.42,18,12,33,455.22,37.53,59,167222.52,0
213,0,0,90.0,6,0,6,67.74,23.22,36,96494.16,0
214,0,0,3.0,0,0,0,2.25,0.78,23,412668.78,0
215,0,6,267.0,18,15,39,200.76,171.45,30,116531.64,0
216,0,0,30.0,0,0,0,27.93,23.79,23,182846.85,0
217,9,6,171015.99,15,6,27,124397.04,61175.16,53,78252.81,0
218,0,0,90.0,3,0,3,74.01,42.0,23,117310.979016494,0
219,0,0,0.0,0,0,0,0.0,0.0,33,117310.979016494,0
220,6,0,78.03,3,0,3,86.79,125.82,23,170310.93,0
221,0,0,90.0,0,0,0,69.0,27.0,23,30290.64,0
222,9,0,398.55,3,6,9,251.1,77.43,44,74486.55,0
223,0,0,0.0,0,0,0,0.0,0.0,23,117310.979016494,0
224,0,0,0.0,0,0,0,0.0,0.0,23,117310.979016494,0
225,0,0,0.0,0,0,0,0.0,0.0,24,107570.16,0
226,0,0,3.0,0,0,0,2.97,2.88,23,83948.1,0
227,0,0,3.0,0,0,0,2.64,1.95,25,22763.58,0
228,15,0,60.0,0,9,9,54.69,44.04,44,117310.979016494,0
229,0,0,0.0,0,0,0,0.0,0.0,37,154851.96,0
230,0,0,3.0,0,0,0,2.82,2.49,31,45678.3,0
231,0,0,3.0,0,0,0,2.76,2.31,23,57561.63,0
232,0,0,60.0,0,0,0,46.44,19.35,23,39815.55,0
233,0,0,3.0,0,0,0,2.49,1.44,38,48861.0,0
234,0,0,0.0,0,0,0,0.0,0.0,23,93648.99,0
235,6,3,3022.65,18,0,21,0.0,214.29,55,359419.14,0
236,0,0,0.0,0,0,0,0.0,0.0,24,120388.89,0
237,0,0,0.0,0,0,0,0.0,0.0,23,54443.31,0
238,9,3,81.45,24,15,42,37.11,11.28,60,80056.14,0
239,0,0,0.0,0,0,0,0.0,0.0,28,117310.979016494,0
240,9,0,1232.19,24,42,66,1366.11,0.0,34,83266.14,0
241,0,0,300.0,0,0,0,289.98,269.97,64,186291.03,0
242,0,0,3.0,0,0,0,2.07,0.18,26,117310.979016494,0
243,0,0,3.0,0,0,0,2.07,0.18,25,65166.39,0
244,0,0,0.0,0,0,0,0.0,0.0,23,117310.979016494,0
245,0,0,30.0,0,0,0,23.22,9.69,23,117310.979016494,0
246,0,0,120.0,0,0,0,89.01,27.06,24,61771.95,0
247,9,3,0.0,12,24,39,0.0,12000.54,33,117310.979016494,0
248,0,0,44.55,3,9,12,36.15,18.87,34,117310.979016494,0
249,0,0,0.0,0,0,0,0.0,0.0,23,71070.3,0
250,6,0,114.57,3,0,3,260.55,32.13,27,268640.97,0
251,0,0,3.0,0,0,0,2.52,1.59,24,283117.71,0
252,18,9,777.12,15,12,36,509.55,29.04,36,115657.23,0
253,0,0,0.0,0,0,0,0.0,0.0,100,96617.22,0
254,0,0,1.5,9,0,9,1.05,0.15,38,105827.07,0
255,0,0,0.0,0,0,0,0.0,0.0,24,50527.26,0
256,0,0,3.0,0,0,0,2.43,1.32,23,117310.979016494,0
257,0,3,90.0,3,0,6,62.91,8.7,23,50647.68,0
258,3,33,472.92,36,24,93,613.95,186.42,31,87471.24,0
259,0,0,0.0,0,0,0,0.0,0.0,28,40853.31,1
260,0,0,0.0,0,0,0,0.0,0.0,28,386898.18,0
261,0,6,1170.99,6,6,18,2099.7,58.08,37,156278.34,0
262,6,84,8567.22,42,3,129,5683.65,106.44,43,117310.979016494,0
263,0,0,0.0,0,0,0,0.0,0.0,52,117310.979016494,0
264,3,0,150.0,0,0,0,103.23,9.69,22,79380.0,0
265,0,0,15.0,0,0,0,12.48,4.62,27,104087.28,0
266,0,0,90.0,0,0,0,85.86,77.58,22,88460.91,0
267,6,0,730.05,3,3,6,891.03,0.0,32,65961.69,0
268,0,0,0.0,0,0,0,0.0,0.0,30,157787.19,1
269,0,0,0.0,0,0,0,0.0,0.0,55,117310.979016494,0
270,0,0,0.0,0,0,0,0.0,0.0,38,62581.86,0
271,0,0,0.0,0,0,0,0.0,0.0,27,119530.92,0
272,0,0,3.0,0,0,0,2.13,0.39,24,117310.979016494,0
273,0,0,160.74,0,0,0,185.37,0.0,43,117310.979016494,0
274,0,0,3.0,0,0,0,2.82,2.43,23,71858.94,0
275,3,0,0.0,0,0,0,0.0,0.0,23,117310.979016494,0
276,3,0,30.0,6,0,6,102.24,8.7,25,79973.88,0
277,3,0,3.0,3,6,9,2.85,2.55,60,137151.15,0
278,9,3,134.46,3,0,6,17418.87,0.0,51,87288.69,0
279,18,15,15.0,3,9,27,6045.33,18105.99,74,196439.1,0
280,0,0,0.0,0,0,0,0.0,0.0,23,90773.76,0
281,0,0,15.0,0,0,0,14.46,13.38,27,117310.979016494,0
282,0,3,399.57,6,6,15,235.14,63.87,26,182891.07,0
283,0,6,29.04,3,3,12,239.52,0.0,23,234128.46,0
284,0,0,3.0,0,3,3,2.91,2.7,25,117310.979016494,0
285,6,0,1000.02,9,0,9,0.0,0.0,32,155866.5,0
286,0,0,3.0,0,0,0,2.37,1.08,32,80623.89,0
287,0,0,3.0,0,3,3,2.22,0.63,26,117310.979016494,0
288,0,0,93.0,0,12,12,93.75,14.7,24,108933.27,0
289,3,0,30.0,0,0,0,30.0,0.0,23,117310.979016494,0
290,0,0,90.0,0,0,0,61.95,5.82,22,117310.979016494,0
291,3,0,10347.84,0,0,0,3450.39,0.3,86,117716.88,0
292,0,0,0.0,0,0,0,0.0,0.0,31,81199.74,0
293,0,0,56.16,0,0,0,58.08,0.0,39,149428.89,0
294,0,0,3.0,0,0,0,2.64,1.95,25,55279.29,0
295,0,0,13.44,0,0,0,14.22,0.0,63,273655.38,0
296,0,0,0.0,3,18,21,0.0,2419.35,59,51297.51,0
297,15,3,9726.78,15,24,42,40318.56,111111.09,44,72815.4,0
298,0,0,0.0,0,0,0,0.0,0.0,40,191698.29,0
299,9,45,5353.11,72,69,186,3802.11,5070.0,40,52962.45,0
300,0,0,1.2,0,0,0,0.87,0.24,44,26619.24,1
301,0,9,31.95,9,6,24,44.91,3.09,30,39143.34,0
302,0,0,3.0,0,0,0,2.28,0.84,28,117310.979016494,0
303,12,9,24620.55,6,18,33,20218.56,16082.01,34,117310.979016494,0
304,6,3,781.14,3,0,6,692.88,163.14,52,114905.67,0
305,3,51,12099.57,72,72,195,8400.69,1685.31,52,80705.76,0
306,3,0,90.0,0,0,0,66.78,20.34,23,144837.0,0
307,0,6,90.0,0,0,6,60.96,2.91,23,37727.49,0
308,0,0,90.0,9,0,9,72.99,39.0,24,108908.34,0
309,3,0,86.19,9,0,9,46.02,21.0,28,63611.34,0
310,0,0,3.0,0,0,0,3.0,0.0,23,117310.979016494,0
311,15,9,94.68,3,0,12,68.4,0.0,36,42264.45,1
312,0,0,3.0,0,0,0,2.85,2.55,27,328239.84,0
313,0,0,90.0,0,0,0,60.99,3.0,28,81088.2,0
314,0,0,0.0,0,0,0,0.0,0.0,30,53549.49,0
315,0,0,0.0,0,21,21,0.0,0.0,29,233512.68,0
316,0,0,105.0,0,0,0,71.13,3.39,23,85286.28,0
317,0,15,17.1,24,0,39,11.79,0.0,25,141630.39,0
318,0,0,0.0,0,0,0,0.0,0.0,25,175566.93,0
319,3,0,3.0,0,6,6,2.16,0.51,30,58371.54,0
320,0,0,3.0,0,0,0,2.13,0.39,23,83551.41,0
321,0,0,3.0,0,0,0,2.7,2.1,27,66866.58,0
322,0,0,3.0,0,0,0,2.31,0.96,24,232500.45,0
323,6,0,63.09,15,3,18,38.58,16.02,37,128121.45,0
324,0,0,3.0,0,0,0,2.28,0.87,24,31092.45,0
325,0,0,0.0,0,0,0,0.0,0.0,38,57485.28,1
326,12,0,15.0,0,0,0,11.61,4.83,25,117310.979016494,0
327,15,15,0.0,21,3,39,0.0,0.0,33,90380.61,0
328,0,0,30.0,0,3,3,24.84,14.52,73,127201.86,0
329,0,0,3.0,0,0,0,2.28,0.87,24,85641.42,0
330,3,0,90.0,0,6,6,65.82,75.45,23,69193.17,0
331,0,0,3.0,0,0,0,2.4,1.23,29,124590.3,0
332,3,0,60.42,0,12,12,49.35,27.18,35,120032.46,0
333,3,0,683.31,6,0,6,486.09,24.99,37,97978.05,0
334,3,0,243.99,3,0,3,143.76,30.0,23,68097.54,0
335,0,0,3.0,0,0,0,2.79,2.4,28,117310.979016494,0
336,0,0,0.0,0,0,0,0.0,0.0,36,80492.67,1
337,0,0,26.94,6,3,9,31.65,49.44,30,101973.87,0
338,3,0,0.0,0,6,6,0.0,0.0,80,79757.79,0
339,18,3,24778.44,6,9,18,0.0,75864.9,50,117310.979016494,0
340,0,0,3.0,0,0,0,2.37,1.08,25,117310.979016494,0
341,18,0,0.0,3,21,24,0.0,71583.93,77,86641.86,0
342,0,0,0.0,0,0,0,0.0,0.0,28,100253.37,0
343,0,0,3.0,0,0,0,2.97,2.88,24,117310.979016494,0
344,0,0,3.0,0,3,3,2.85,2.55,23,103287.6,0
345,12,0,3118.53,9,9,18,1381.83,49.98,37,117310.979016494,0
346,0,0,0.0,0,0,0,0.0,0.0,35,117310.979016494,0
347,6,6,60.0,9,3,18,45.33,16.02,36,50230.14,0
348,18,15,0.0,30,66,111,0.0,0.0,48,72054.27,0
349,0,3,30.0,3,0,6,28.62,25.89,23,117310.979016494,0
350,0,3,77.76,0,6,9,36.51,29.04,72,119238.72,0
351,0,0,3.0,0,0,0,2.61,1.83,30,70882.5,0
352,24,3,38854.92,42,6,51,27677.46,0.0,39,117310.979016494,0
353,6,0,9350.31,12,0,12,3138.06,3.87,45,80073.87,0
354,0,0,90.0,0,0,0,85.86,77.58,22,64866.96,0
355,3,15,60.51,9,27,51,50.52,21.36,25,54887.1,0
356,15,30,3.0,18,3,51,2.13,0.39,34,107923.98,0
357,0,0,3.0,0,0,0,2.85,2.55,26,86363.31,0
358,3,0,3.0,0,0,0,2.28,0.84,24,117797.64,0
359,0,0,30.0,0,0,0,26.13,18.42,24,67047.6,0
360,6,0,90.0,0,0,0,83.79,71.4,23,75485.82,0
361,24,0,4500.0,3,9,12,3983.34,2950.02,38,36178.68,0
362,9,0,828.09,0,0,0,12421.56,0.0,38,70588.41,0
363,0,0,0.0,0,0,0,0.0,0.0,34,141293.7,1
364,0,0,15.0,0,0,0,12.66,8.01,23,117310.979016494,0
365,15,12,15.0,6,0,18,587.04,4.38,51,51396.93,1
366,3,24,67.71,30,33,87,106.71,216.99,23,117060.3,0
367,0,0,3.0,0,0,0,2.28,0.81,27,117310.979016494,0
368,0,0,3.0,0,0,0,2.22,0.63,23,117310.979016494,0
369,0,0,0.0,0,0,0,0.0,0.0,25,268504.08,0
370,0,12,3.0,12,3,27,2.04,0.09,23,89761.29,0
371,15,6,218.28,24,6,36,284.58,0.21,32,149698.32,0
372,9,0,90.0,0,0,0,75.0,45.03,25,58495.56,0
373,0,0,3.0,0,0,0,2.79,2.34,34,116245.23,0
374,15,0,30.0,3,12,15,24.99,14.97,48,92912.4,0
375,0,0,0.0,0,0,0,0.0,0.0,23,117310.979016494,0
376,27,0,3007.02,0,3,3,0.0,0.0,43,94641.24,0
377,3,0,450.0,0,15,15,688.95,387.93,45,90883.44,0
378,0,0,0.0,0,0,0,0.0,0.0,23,132356.25,0
379,0,0,0.0,0,0,0,0.0,0.0,34,117310.979016494,0
380,0,0,90.0,0,0,0,84.21,72.6,50,114088.98,0
381,6,12,261.54,30,9,51,179.88,146.16,29,324294.3,0
382,0,3,780.99,18,3,24,1082.82,0.0,41,124095.3,0
383,3,6,29.01,18,48,72,0.0,24.84,39,117310.979016494,0
384,0,0,3.0,0,0,0,2.1,0.27,30,117310.979016494,0
385,9,9,805.2,0,0,9,792.36,40.74,37,131087.7,0
386,18,21,0.0,15,33,69,691.59,3.18,46,544584.84,0
387,0,0,3.0,0,0,0,2.49,1.44,29,29016.0,0
388,0,12,291.78,24,12,48,355.41,0.0,31,80969.94,0
389,0,6,0.0,3,3,12,0.0,0.0,30,132050.88,0
390,0,0,0.0,0,0,0,0.0,0.0,24,105229.11,0
391,0,0,3.0,0,0,0,2.1,0.27,23,117310.979016494,0
392,0,0,3.0,0,0,0,2.61,1.86,23,52148.37,0
393,0,0,3.0,0,0,0,2.88,2.61,23,43674.3,0
394,0,0,3.0,0,0,0,2.43,1.29,26,77630.16,0
395,0,0,3.0,0,0,0,2.07,0.21,27,131441.67,1
396,0,3,90.0,3,0,6,61.95,5.82,23,117310.979016494,0
397,0,0,629.07,0,21,21,521.64,573.96,52,75652.56,0
398,0,3,0.0,3,0,6,0.0,0.0,23,131846.31,0
399,6,69,1251.12,99,27,195,809.91,203.31,34,119707.2,0
400,9,12,10303.02,24,45,81,29367.9,77497.65,51,49596.15,0
401,0,0,0.0,0,0,0,0.0,0.0,23,115169.73,0
402,0,0,600.0,3,0,3,600.0,0.0,24,117310.979016494,0
403,0,0,90.0,0,0,0,69.69,29.04,24,99165.99,0
404,0,0,0.0,0,0,0,0.0,0.0,23,101220.81,0
405,0,0,0.0,0,0,0,0.0,0.0,23,116524.8,0
406,0,0,0.0,0,0,0,0.0,0.0,45,116258.73,0
407,0,0,60.0,0,0,0,53.55,40.65,23,28693.92,0
408,15,0,1053.0,6,3,9,815.37,340.08,35,117310.979016494,0
409,0,0,1032.18,9,0,9,550.53,65.97,41,70207.53,0
410,0,0,3.0,0,0,0,2.79,2.4,23,71829.12,0
411,0,0,0.0,0,0,0,0.0,0.0,56,117310.979016494,1
412,3,18,57.96,33,0,51,58.98,0.0,41,60098.49,0
413,3,3,0.0,15,0,18,0.0,0.0,68,84237.54,0
